ProductId,Image Url,Video Url,Product Desc,Origin Price,Discount Price,Discount,Currency,Direct linking commission rate (%),Estimated direct linking commission,Indirect linking commission rate (%),Estimated indirect linking commission,Sales180Day,Positive Feedback,Promotion Url,Code Name,Code Start Time,Code End Time,Code Value,Code Quantity,Code Minimum Spend
1005011939953474,https://ae-pic-a1.aliexpress-media.com/kf/S31a6d3e9e3424a22a24c7769c394c73eY.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2213041917945/p/1/e/6/t/10301/349546426046.mp4,"CNC Water Jet Cutting Head On/Off Valve Adapter Assembly 3/8""M TO 1/4""F Waterjet Cutter 5 Axis Machine 1-11394 A-0792-1 10079432",EUR 24.74,EUR 23.75,4%,EUR,7.0,EUR 1.66,7.0,EUR 1.66,3,,https://s.click.aliexpress.com/e/_c4PdOQHr,,,,,,
1005010645033890,https://ae-pic-a1.aliexpress-media.com/kf/Sa6f100ec272847ec9eaa98245867cc4eX.jpg,,3D Coconut Tree Halter Pearls Mini Micro Bikini Women Swimsuit Female Swimwear Two-pieces Bikini Set Bather Bathing Suit Swim,EUR 21.71,EUR 11.72,46%,EUR,9.0,EUR 1.05,9.0,EUR 1.05,9,100.0%,https://s.click.aliexpress.com/e/_c4eb7cr7,,,,,,
1005012521545773,https://ae-pic-a1.aliexpress-media.com/kf/Scfdf478da20f468691ef87fced4ddad1A.jpg,,High-Power 7.5HP 5.5KW Vacuum Pump For CNC Router 220V 380V AC Electric High Pressure OEM Customizable,EUR 115.59,EUR 107.50,7%,EUR,7.0,EUR 7.52,7.0,EUR 7.52,1,,https://s.click.aliexpress.com/e/_c3tVeXqH,,,,,,
1005008874963638,https://ae-pic-a1.aliexpress-media.com/kf/S31771f31b365461ebb38d105c3b0cf1ah.jpg,,10pcs/lot High Precision CNC Clear Polycarbonate Xtreme V Wheel Kits for V-Slot Aluminum Profiles 3D Printer CNC Router Wheels,EUR 13.32,EUR 13.19,1%,EUR,12.0,EUR 1.58,12.0,EUR 1.58,6,100.0%,https://s.click.aliexpress.com/e/_c3OWNxYp,,,,,,
1005008192365397,https://ae-pic-a1.aliexpress-media.com/kf/S1205eef0979341bfadeec49421aae368E.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2658819118/p/1/e/6/t/10301/4000250476530.mp4,Wire EDM Stainless Steel Jig Holder Clamp 70-90mm M8 Screw CNC Lathe Claw for Sodick DWC Wire Cut EDM Machine,EUR 4.83,EUR 2.17,55%,EUR,7.0,EUR 0.15,7.0,EUR 0.15,19,98.2%,https://s.click.aliexpress.com/e/_c361qgkN,,,,,,
1005012432661453,https://ae-pic-a1.aliexpress-media.com/kf/S4a6c0f75b2764f32831913e3a9ee8345f.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/223296960/p/1/e/6/t/10301/1100204461300.mp4,10Pcs Openbuilds Polycarbonate PC Extreme Mini V Wheel Kits for V-Slot Linear Rail Aluminum Profile 3D Printer CNC Router DIY,EUR 11.50,EUR 11.50,0%,EUR,7.0,EUR 0.80,7.0,EUR 0.80,2,,https://s.click.aliexpress.com/e/_c4Oj4kaZ,,,,,,
1005011543653434,https://ae-pic-a1.aliexpress-media.com/kf/S128076acfa8c45fabe51fb698edf0cf0x.jpg,,QB-C01 Hi-Fi CNC Regenerative Power Filter for Audio Amplifier DAC Daphile NAS Digital Audio Player Router And Switch,EUR 60.40,EUR 60.40,0%,EUR,8.0,EUR 4.83,7.0,EUR 4.23,96,94.9%,https://s.click.aliexpress.com/e/_c4BjwF7n,,,,,,
1005007002755238,https://ae-pic-a1.aliexpress-media.com/kf/Sbe1696887a0a45008f75d97860b0dab6Q.jpg,,New Screen Film Cover Game Console Screen Protector For Flipper Zero Electronic Game Accessories Boys And Girls Gifts,EUR 0.08,EUR 0.06,27%,EUR,7.0,EUR 0.00,7.0,EUR 0.00,25,64.0%,https://s.click.aliexpress.com/e/_c4VSC925,,,,,,
1005008850006833,https://ae-pic-a1.aliexpress-media.com/kf/S599a614ebe2a4ed79429aa58c9cce653a.jpg,,CNC Z-Axis Tool Setting Touch Plate Probe for TTC450 Mach3 GRBL 3018 Router Milling Engraving Machine Zero Check Block Sensor,EUR 5.28,EUR 3.11,41%,EUR,7.0,EUR 0.22,7.0,EUR 0.22,214,95.5%,https://s.click.aliexpress.com/e/_c4NZMD4t,,,,,,
1005010476316802,https://ae-pic-a1.aliexpress-media.com/kf/S68852044cb0d4e1487f22e7ecc31a9661.jpg,,Samsung Galaxy A70 Intelligent Android Phone 6.7-inch 2SIM Global Version Samsung Smartphone NFC 32MP 4500mAh Original Unlock,EUR 303.60,EUR 142.69,53%,EUR,7.0,EUR 9.99,7.0,EUR 9.99,6,20.0%,https://s.click.aliexpress.com/e/_c3M72zeN,,,,,,
