ProductId,Product Desc,Image Url,,,Origin Price,Discount Price,Direct linking commission rate (%),Promotion Url
100000157,Electric Vacuum Sealer Built-in Cutter Kitchen Food Storage Seal Touch Button Dry/Wet Food Sealing Vacuum Packaging Machine,https://ae-pic-a1.aliexpress-media.com/kf/Sa5c3bd3795f24d408cc44da4535e247bb.jpg,,,USD 48.52,USD 47.86,12.0%,https://s.click.aliexpress.com/e/_c3gM0LMx
200085153,AIFEN A9 Plus  Soldering Station Compatible Soldering Iron Tip 210/245/115 Handle Control Temperature Welding Rework Station,https://ae-pic-a1.aliexpress-media.com/kf/S98364b7f5a1b48db931626b4fc4d178bL.jpg,,,USD 322.63,USD 154.86,12.0%,https://s.click.aliexpress.com/e/_c3wAXTeB
150410,Wurkkos TS28 EDC Flashlight 3200 LM Rechargeable 21700 Battery 506m Beam Distance Magnetic Tail Cap Self-Defense Flashlight,https://ae-pic-a1.aliexpress-media.com/kf/Sb7b503f4cbd34fceac4e20be35f20153b.jpg,,,USD 59.86,USD 36.58,12.0%,https://s.click.aliexpress.com/e/_c3qcBWIx
200353142,Stereo Microscope PL10X Wide Angle Prosyl Eyepiece Diopter Adjustable High Eye Point 30mm Olympus Nikon Replacement with Eyecups,https://ae-pic-a1.aliexpress-media.com/kf/Sf27bc6c524c34b16962d4449745f93ccT.jpg,,,USD 71.62,USD 49.42,12.0%,https://s.click.aliexpress.com/e/_c3tQqWYr
202218678,LCD Screen Panel Assembly For PC‑8 PC200‑8 PC210‑8 Excavator Cluster Gauge Monitor Instrument Spare Part,https://ae-pic-a1.aliexpress-media.com/kf/S7db176e23e8243ddbffaae6b7bbbf4a4O.jpg,,,USD 125.68,USD 125.68,12.0%,https://s.click.aliexpress.com/e/_c4KXZLQr
153705,Factory Sale 3m 10m 5m to 4-20mA RS485 Ultrasonic Level Sensor For Water Oil Tank Ultrasonic Level Measuring Sanitary Olive Oil,https://ae-pic-a1.aliexpress-media.com/kf/S8db67d35f6604aa3b9b26c767e9ccba8E.png,,,USD 142.54,USD 85.52,12.0%,https://s.click.aliexpress.com/e/_c3hQSKF9
200001328,"MIJIA Smart Servo-Oscillation Electric Toothbrush Pro, IPX8 Waterproof & Travel Lock, 180-Day Long Battery Life, App Control",https://ae-pic-a1.aliexpress-media.com/kf/S36272c390ffe48df8be7648773c27808A.jpg,,,USD 169.54,USD 105.11,12.0%,https://s.click.aliexpress.com/e/_c41ZPakB
100005696,RF4 S9R Ultra-wide High Power Trinocular Microscope 7-74X Continuous Zoom 27mm Field Of Fiew For Mobile Phone Welding Repair,https://ae-pic-a1.aliexpress-media.com/kf/S9e1408a5a23042659088f93e5f5c4612p.jpg,,,USD 509.83,USD 407.87,12.0%,https://s.click.aliexpress.com/e/_c4sG6FdN
3712,"GPO Brooklyn Retro Boombox | Cassette Player, CD Player, Bluetooth Speaker, FM Radio, Portable Stereo System",https://ae-pic-a1.aliexpress-media.com/kf/S9020ff50143a4fdeb6e83587a0c00228p.jpg,,,USD 845.38,USD 388.88,12.0%,https://s.click.aliexpress.com/e/_c33qphUx
100000055,Original For Dyson V15 SV22 SV47 Motor Accessories Engine Assembly Host Handle Shell Vacuum Cleaner Replacement Spare Parts,https://ae-pic-a1.aliexpress-media.com/kf/S846331f06a7d431c9a0fa196dedc5069o.jpg,,,USD 242.32,USD 113.89,12.0%,https://s.click.aliexpress.com/e/_c2R4x0sr
142707,CQWY SUP23S/T Laser Welding Head Parts 18x2 Protective Lens 16x5 F60 20x4.5 F150 Laser Focusing Lens 30x14 T2 Reflector,https://ae-pic-a1.aliexpress-media.com/kf/S74fc4f53d4bb41cd95361015dcc53c59c.jpg,,,USD 12.24,USD 7.34,12.0%,https://s.click.aliexpress.com/e/_c3ndVXjh
15370301,UNI-T Clamp Meter UT201 UT202 UT202A UT203 UT204 Plus Digital Tester Professional Voltmeter Pliers Ammeter Electric Multitester,https://ae-pic-a1.aliexpress-media.com/kf/S42033227828f49f7a40854a300d0219fo.png,,,USD 69.38,USD 30.28,12.0%,https://s.click.aliexpress.com/e/_c3NoasgP
100007505,DSPIAE ES-A DIY Reciprocating Sander Electric Grinding Pen Plastic Model Sanding Heads Sandpaper Military Craft Tools,https://ae-pic-a1.aliexpress-media.com/kf/Sb60d00d782d04b9c8516d12d7705342dZ.jpg,,,USD 55.37,USD 44.30,12.0%,https://s.click.aliexpress.com/e/_c3fjIUp1
202216074,81 Electric  Screw Conveyor Hose  Suction Machine for Sand Powder Grain Extractor for Construction Site Strong Suction Auger Fee,https://ae-pic-a1.aliexpress-media.com/kf/Sc59e1034671d45eca8c8c222097a40c6t.jpg,,,USD 1891.88,USD 1872.96,12.0%,https://s.click.aliexpress.com/e/_c4VSKKix
153713,Portable Rapid POCT Blood Lactic Acid Test Meter Veterinary Test Strips for Rapid Detection of Lactate,https://ae-pic-a1.aliexpress-media.com/kf/Sb8b3750ac15244669f1b6af7a2e65b1dH.jpg,,,USD 113.65,USD 111.38,12.0%,https://s.click.aliexpress.com/e/_c4bSsszD
4104,300Bar 220V 110V PCP Air Compressor 4500Psi Pneumatic Rifles High Pressure 12V Vehicle Mounted Pump 30MPA Scuba Diving Shooting,https://ae-pic-a1.aliexpress-media.com/kf/Scd8323660027404b85526fbc51ba82ecr.jpg,,,USD 247.63,USD 183.25,12.0%,https://s.click.aliexpress.com/e/_c3Opagt1
