ProductId,Image Url,Video Url,Product Desc,Origin Price,Discount Price,Discount,Currency,Direct linking commission rate (%),Estimated direct linking commission,Indirect linking commission rate (%),Estimated indirect linking commission,Sales180Day,Positive Feedback,Promotion Url,Code Name,Code Start Time,Code End Time,Code Value,Code Quantity,Code Minimum Spend
1005007726029070,https://ae-pic-a1.aliexpress-media.com/kf/S071422504b934b8b8a7f63b56cf033e5Q.jpg,,"Natural Stone Picture Jasper Round Bead 15"" Strand 4 6 8 10 12mm Pick Size For Jewelry Making DIY Necklace Bracelet Accessory",MAD 33.60,MAD 33.00,1%,MAD,7.0,MAD 2.31,7.0,MAD 2.31,81,96.0%,https://s.click.aliexpress.com/e/_c2JRlR8t,,,,,,
1005006696390447,https://ae-pic-a1.aliexpress-media.com/kf/S79d16f68edb74871b69ce96bd74d9803g.jpg,,Sunspicems Gold Color Arabic Hollow Bangle Ring Sets for Women Moroccan Wedding Jewelry Algeria Cuff Bracelet Bridal Gift,MAD 216.36,MAD 116.83,46%,MAD,7.0,MAD 8.18,7.0,MAD 8.18,48,94.0%,https://s.click.aliexpress.com/e/_c2JUlHU1,,,,,,
1005008878972592,https://ae-pic-a1.aliexpress-media.com/kf/S93ecb7c1508a4d8e8dc9f859fd58f82dw.jpg,,DIY Bow Bubble Tray Coaster Silicone Mold Plaster Epoxy Concrete Cement Mould Handicrafts Gift Jewelry Storage Tray Home Decor,MAD 58.73,MAD 57.92,1%,MAD,7.0,MAD 4.05,7.0,MAD 4.05,150,94.9%,https://s.click.aliexpress.com/e/_c3LnpEo5,,,,,,
1005003605391079,https://ae-pic-a1.aliexpress-media.com/kf/Ha02f7522b313461998f5f43cebb46623Y.jpg,,Casual Sports Fitness Silicone Rubber Elasticity Wristband Cuff Bracelet Basketball Sports Wrist Band Силиконовый браслет,MAD 21.80,MAD 21.70,1%,MAD,7.0,MAD 1.52,7.0,MAD 1.52,903,94.2%,https://s.click.aliexpress.com/e/_c4Vo0049,,,,,,
33031594561,https://ae-pic-a1.aliexpress-media.com/kf/S62ce5e3210aa47d38e163ff9b3477739Q.jpg,,925 Sterling Silver Bracelets for Women Wedding Lady Cute Noble Pretty Jewelry Fashion Nice Chain Free Shipping Hot Gifts,MAD 32.09,MAD 31.48,1%,MAD,7.0,MAD 2.20,7.0,MAD 2.20,1045,93.8%,https://s.click.aliexpress.com/e/_c3MTuqC9,,,,,,
1005006282364271,https://ae-pic-a1.aliexpress-media.com/kf/Se8fb74b8a6804606837ed0ccdc22e812u.jpg,,Fashion Razor Blade Pendant Necklace Punk Stainless Steel Hip Hop Knife Shaver Shape Sweater Chain Necklace Gift for Women Men,MAD 23.59,MAD 23.56,1%,MAD,7.0,MAD 1.65,7.0,MAD 1.65,92,96.2%,https://s.click.aliexpress.com/e/_c3j6V0lX,,,,,,
1005004697751326,https://ae-pic-a1.aliexpress-media.com/kf/Sc7bcb848444f4139b28cdccd483242faf.jpg,,Stainless Steel Lobster Clasps Open Jump Rings Crimp Beads Caps For Diy Bracelet Necklace Supplies Jewelry Making Kit Set Box,MAD 48.94,MAD 48.23,1%,MAD,7.0,MAD 3.38,7.0,MAD 3.38,1002,95.2%,https://s.click.aliexpress.com/e/_c3kRMVRR,,,,,,
32810776241,https://ae-pic-a1.aliexpress-media.com/kf/HTB1ryiGRXXXXXXwXXXXq6xXFXXXK.jpg,,Dia 0.2/0.25/0.3/0.35/0.4/0.45/0.5/0.6MM Non-Stretch Fish Line Nylon Line Not Fluorocarbon Line for Jewelry Making,MAD 22.71,MAD 22.51,1%,MAD,8.0,MAD 1.80,7.0,MAD 1.58,168,98.0%,https://s.click.aliexpress.com/e/_c4F0BNGh,,,,,,
1005006177033912,https://ae-pic-a1.aliexpress-media.com/kf/S259250f31b484c46a6fc1dc86f4448024.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/231447710/p/1/e/6/t/10301/4000110212762.mp4,Creative Metal Car Accessories Keychain Zinc Alloy Turbo Gearbox Hub Brake Disc Pendant KeyRing for Men's Dad Birthday Gift,MAD 27.35,MAD 27.35,0%,MAD,7.0,MAD 1.91,7.0,MAD 1.91,2478,93.6%,https://s.click.aliexpress.com/e/_c3wcP0M5,,,,,,
1005010240461902,https://ae-pic-a1.aliexpress-media.com/kf/Se57110d2cc9541f9a1ee82d5ffe67addM.jpg,,3Pcs/set 316L Stainless Steel Waterproof Cuff Bangle Bracelets For Women Men New Gold-plated Wrist Glossy Charms Jewelry Gifts,MAD 50.76,MAD 49.75,1%,MAD,7.0,MAD 3.48,7.0,MAD 3.48,254,87.1%,https://s.click.aliexpress.com/e/_c2ykOPiz,,,,,,
1005010241905757,https://ae-pic-a1.aliexpress-media.com/kf/S5a7c4ed36e8c470ab5f71400c7704421s.jpg,,Elastic Men's Volcanic Stone Bracelet with Square Black Agate Fashionable Jewelry Suitable for Modern Gentlemen Magnetic Therapy,MAD 45.18,MAD 45.18,0%,MAD,10.0,MAD 4.52,7.0,MAD 3.16,553,93.4%,https://s.click.aliexpress.com/e/_c3HKifEl,,,,,,
1005011860823388,https://ae-pic-a1.aliexpress-media.com/kf/S157b47cf4ef1427caa0eacdf466b57821.jpg,,Geometric exaggerated line winding bracelet ring set opening adjustable women's jewelry,MAD 149.66,MAD 74.83,50%,MAD,7.0,MAD 5.24,7.0,MAD 5.24,255,97.6%,https://s.click.aliexpress.com/e/_c3CRjiyz,,,,,,
