ProductId,Image Url,Video Url,Product Desc,Origin Price,Discount Price,Discount,Currency,Direct linking commission rate (%),Estimated direct linking commission,Indirect linking commission rate (%),Estimated indirect linking commission,Sales180Day,Positive Feedback,Promotion Url,Code Name,Code Start Time,Code End Time,Code Value,Code Quantity,Code Minimum Spend
1005009532752486,https://ae-pic-a1.aliexpress-media.com/kf/S76ccf227c99c4e378f2a735dc52022d5t.jpg,,"Starry Sky Solar-Powered Car Air Freshener – Long-Lasting Fragrance, Stylish Design, Premium Car Perfume | Ideal Gift & Festive",MAD 254.66,MAD 127.33,50%,MAD,9.0,MAD 11.46,9.0,MAD 11.46,1557,85.9%,https://s.click.aliexpress.com/e/_c44lk8Qt,,,,,,
1005006275812639,https://ae-pic-a1.aliexpress-media.com/kf/S5a2bdcb1538e4ba1ae6a3ce64499f09am.jpg,,12V 2A Car Battery Charger EU Plug Tester Automatic Smart Digital LCD Display Power Pulse Repair Tools Motorcycle Accessories,MAD 328.00,MAD 164.00,50%,MAD,7.0,MAD 11.48,7.0,MAD 11.48,335,84.9%,https://s.click.aliexpress.com/e/_c4TmON93,,,,,,
1005006898161189,https://ae-pic-a1.aliexpress-media.com/kf/S856fa51c96994ee4bac15ff6f4c42c5cg.jpg,,ELM327 V2.1 OBD2 Scanner Bluetooth Car Diagnostic Tool For Android /IOS Code Reader Automotive Fault Detector,MAD 168.02,MAD 82.33,51%,MAD,7.0,MAD 5.76,7.0,MAD 5.76,3166,89.1%,https://s.click.aliexpress.com/e/_c2wzDk49,,,,,,
1005007321317353,https://ae-pic-a1.aliexpress-media.com/kf/S69a9278bbcb646b195ff9f23fc530fb9x.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/233091362/p/1/e/6/t/10301/1100194906648.mp4,2Pcs LED H4 H7 Car Headlight H1 LED Bulb H8 H11 9005 HB3 9006 HB4 9004 HB1 H3 HB5 H13 Led Lights 20000LM Turbo Lampada 12V,MAD 155.95,MAD 120.08,23%,MAD,7.0,MAD 8.41,7.0,MAD 8.41,9230,84.1%,https://s.click.aliexpress.com/e/_c40m3SxT,,,,,,
1005007569504039,https://ae-pic-a1.aliexpress-media.com/kf/Se436ed861d2f45b0a123ee0b2f384e8c3.jpg,,Wireless Bluetooth FM Transmitter & MP3 Player With Hands-Free Calling Radio Receiver Dual USB Charger & Music Stereo Adapter,MAD 46.47,MAD 45.60,1%,MAD,7.0,MAD 3.19,7.0,MAD 3.19,2728,91.9%,https://s.click.aliexpress.com/e/_c2xDmsa1,,,,,,
1005006735663600,https://ae-pic-a1.aliexpress-media.com/kf/S7913b160749d49708aba929e10f47fb2g.jpg,,2Pcs Round Frame Convex Blind Spot Mirror Safety Driving Wide-angle 360 Degree Adjustable Clear Rearview Mirror Car Accessories,MAD 123.32,MAD 64.12,48%,MAD,7.0,MAD 4.49,7.0,MAD 4.49,18757,94.1%,https://s.click.aliexpress.com/e/_c3mdO0ID,,,,,,
1005006820470926,https://ae-pic-a1.aliexpress-media.com/kf/S6d4a70a759824acfbab5ec40fe46a9d4C.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/236923103/p/1/e/6/t/10301/1100182564263.mp4,AD Universal Y03 Car GPS Head Up Display Digital Speedometer for HUD KMH Gauge Automotive Accessories Speed Meter,MAD 148.39,MAD 133.55,10%,MAD,7.0,MAD 9.35,7.0,MAD 9.35,643,93.3%,https://s.click.aliexpress.com/e/_c3aHg7o1,,,,,,
1005005231413849,https://ae-pic-a1.aliexpress-media.com/kf/S10b1471080ab4085add2143e210d5d4fk.jpg,,Car Sticker Reflective Warning Safety Tape Anti Collision Warning Reflective Stickers Automobile Trunk Reflectante Accessories,MAD 21.48,MAD 21.08,1%,MAD,7.0,MAD 1.48,7.0,MAD 1.48,1677,93.4%,https://s.click.aliexpress.com/e/_c4DS6fDT,,,,,,
1005007677346053,https://ae-pic-a1.aliexpress-media.com/kf/S70b97172842b4eaf8d4d84391ea1bef6z.jpg,,1-10m Nano Carbon Fiber Car 3D Tape Sticker Door Mirror Paste Protector Strip DIY Protection Protective Film Waterproof Adhesive,MAD 21.51,MAD 21.13,1%,MAD,8.0,MAD 1.69,7.0,MAD 1.48,6618,88.9%,https://s.click.aliexpress.com/e/_c4lOsFA9,,,,,,
1005008683969668,https://ae-pic-a1.aliexpress-media.com/kf/Sd9cbbef86e134d01bb83bc820399ef3fL.jpg,,2x 1156/1157 144SMD BAU15S PY21W LED Turn Signal Tail Light Bulbs Canbus 12V,MAD 43.05,MAD 41.55,3%,MAD,8.0,MAD 3.32,7.0,MAD 2.91,1744,91.4%,https://s.click.aliexpress.com/e/_c3WzExHx,,,,,,
