ProductId,Image Url,Video Url,Product Desc,Origin Price,Discount Price,Discount,Currency,Direct linking commission rate (%),Estimated direct linking commission,Indirect linking commission rate (%),Estimated indirect linking commission,Sales180Day,Positive Feedback,Promotion Url,Code Name,Code Start Time,Code End Time,Code Value,Code Quantity,Code Minimum Spend
1005007433571868,https://ae-pic-a1.aliexpress-media.com/kf/S843f26a22ecb4e13bc4c3cabb5bdbbcf8.jpg,,"Helmets Visor For Scorpion Exo 1400 Carbon, R1 & EXO 520 391 Motorcycle Helmet Lens Visor Plating Uv Protection Lens Faceshield",EUR 15.77,EUR 12.62,20%,EUR,8.5,EUR 1.07,7.0,EUR 0.88,2541,92.3%,https://s.click.aliexpress.com/e/_c4UICaC9,,,,,,
1005007750297660,https://ae-pic-a1.aliexpress-media.com/kf/S86fcee9cb4ff42de94a86cc2886d580cF.jpg,,Kick Side Stand Base Pad Motorcycle Foot Kickstand Plate For KTM XC XCW XCF EXC 125-501 2020 2021 Husqvarna TE FE TX FX Husaberg,EUR 3.46,EUR 3.29,5%,EUR,8.0,EUR 0.26,7.0,EUR 0.23,122,97.2%,https://s.click.aliexpress.com/e/_c3rTGyRT,,,,,,
1005005258499489,https://ae-pic-a1.aliexpress-media.com/kf/S28fe60831f254027bf76f9e1443b37f4i.jpg,,For Kawasaki VERSYS 650 1000 X300 Motorcycle Accelerator Booster Handle Control Grip Throttle Assistant Clip Labor Saver,EUR 1.31,EUR 0.84,36%,EUR,10.5,EUR 0.09,7.0,EUR 0.06,391,98.5%,https://s.click.aliexpress.com/e/_c36MTjEV,,,,,,
1005007199490896,https://ae-pic-a1.aliexpress-media.com/kf/S7d44e64b806a4072aede0b59f0ac0930f.jpg,,CE Level 2 Moto Motorcycle Back Elbow Knee Shoulder Protector Jacket Insert Gear Armor Motocross Racing Protect Protection Pad,EUR 6.83,EUR 6.83,0%,EUR,7.0,EUR 0.48,7.0,EUR 0.48,422,95.4%,https://s.click.aliexpress.com/e/_c3N3DLGv,,,,,,
1005012520404493,https://ae-pic-a1.aliexpress-media.com/kf/S3883fe07afbb4ec582b41694d50bfa74h.jpg,,1 PCS Stainless Steel Tire Valve Core Removal Tool L Keyring-Attached For Car Motorcycle ATV Bike Universal,EUR 1.25,EUR 1.16,7%,EUR,8.0,EUR 0.09,7.0,EUR 0.08,28,87.7%,https://s.click.aliexpress.com/e/_c3OCU4TL,,,,,,
1005003661086264,https://ae-pic-a1.aliexpress-media.com/kf/H75996804dd124e3398bb065fa66a443d4.jpg,,Sclmotos- 50mm Modified Motorcycle Carburetor Carb Air Filter Wind Cup For Keihi Koso OKO PWK 21 24 26 28 30 PE 28 30mm Pit Bike,EUR 3.53,EUR 2.58,27%,EUR,7.0,EUR 0.18,7.0,EUR 0.18,148,95.2%,https://s.click.aliexpress.com/e/_c2wvp5WH,,,,,,
1005009185635785,https://ae-pic-a1.aliexpress-media.com/kf/Sf6c3abaf4fd44663ab9c60d948301154J.jpg,,Motorcycle Rubber Shift Lever Gear Cover Universal 200 250 390 690 790 890 990 DUKE Gear Shift Lever Pedal Foot Pad Rubber Cover,EUR 5.26,EUR 3.16,40%,EUR,7.0,EUR 0.22,7.0,EUR 0.22,2041,94.8%,https://s.click.aliexpress.com/e/_c3NZS2cV,,,,,,
1005006416850936,https://ae-pic-a1.aliexpress-media.com/kf/S1bc7cb27a200416395b16b047a3e7a2eg.jpg,,Moto Helmet Anti-fog Patch Film Rainproof Lens Film for Motorcycle Visor Clear Fog Resistant Motor Racing Accessories Universal,EUR 1.58,EUR 1.42,10%,EUR,7.0,EUR 0.10,7.0,EUR 0.10,817,87.7%,https://s.click.aliexpress.com/e/_c2QiCSeZ,,,,,,
1005007822115643,https://ae-pic-a1.aliexpress-media.com/kf/Sca457a67cfc845c29fe34740ff5143947.jpg,,25mm Engine Crash Bar Protector Bumper Guard Decorative Block For BMW R1200GS R1250GS LC ADV R 1250GS R 1200GS Adventure 2023,EUR 17.12,EUR 12.32,28%,EUR,7.0,EUR 0.86,7.0,EUR 0.86,147,95.3%,https://s.click.aliexpress.com/e/_c3mkLRNL,,,,,,
4000437713880,https://ae-pic-a1.aliexpress-media.com/kf/H2602558b19c24549977fc37d67ef1aaa7.jpg,,ZSDTRP Universal Carburetor Air Filter Cleaner 48mm 55mm 60mm Motorcycle Scooter For KEIHI KOSO MIKUNI OKO Carburetor,EUR 5.73,EUR 4.58,20%,EUR,7.0,EUR 0.32,7.0,EUR 0.32,754,95.7%,https://s.click.aliexpress.com/e/_c2Je5PUv,,,,,,
