ProductId,Image Url,Video Url,Product Desc,Origin Price,Discount Price,Discount,Currency,Direct linking commission rate (%),Estimated direct linking commission,Indirect linking commission rate (%),Estimated indirect linking commission,Sales180Day,Positive Feedback,Promotion Url,Code Name,Code Start Time,Code End Time,Code Value,Code Quantity,Code Minimum Spend
1005010476316802,https://ae-pic-a1.aliexpress-media.com/kf/S68852044cb0d4e1487f22e7ecc31a9661.jpg,,Samsung Galaxy A70 Intelligent Android Phone 6.7-inch 2SIM Global Version Samsung Smartphone NFC 32MP 4500mAh Original Unlock,EUR 303.60,EUR 142.69,53%,EUR,7.0,EUR 9.99,7.0,EUR 9.99,6,20.0%,https://s.click.aliexpress.com/e/_c4rOOixT,,,,,,
1005010239941822,https://ae-pic-a1.aliexpress-media.com/kf/S606031f4f65f4861a5fb070008f0e973j.jpg,,Samsung Galaxy A13 Smart Android Phone 6.5-inch 50MP 2SIM Refurbished Samsung Smartphone 5000mAh NFC 90Hz European Edition,EUR 301.89,EUR 123.77,59%,EUR,7.0,EUR 8.66,7.0,EUR 8.66,1,80.0%,https://s.click.aliexpress.com/e/_c355FJnf,,,,,,
1005010167195431,https://ae-pic-a1.aliexpress-media.com/kf/Sbdeb83cf46bd4f5aa771eb43f1ee698fu.jpg,,Refurbished Samsung Galaxy S24 Ultra 5G Smart Android Phone 6.8-inch 200MP45W Samsung Smartphone 5000mAh NFC Wireless Charging,EUR 1525.34,EUR 732.16,52%,EUR,7.0,EUR 51.25,7.0,EUR 51.25,0,100.0%,https://s.click.aliexpress.com/e/_c3BLVuUd,,,,,,
1005009962265867,https://ae-pic-a1.aliexpress-media.com/kf/Sf4c997932e104ff2854c28117815a1aaE.jpg,,Oatsbasf Metal Phone Case for iPhone 17 Pro Max/17 Pro with Magnetic Stand 360° Rotatable Magsafe Aluminum Metal Frameless Cover,EUR 33.28,EUR 16.64,50%,EUR,7.0,EUR 1.16,7.0,EUR 1.16,39,96.0%,https://s.click.aliexpress.com/e/_c32qqJsZ,,,,,,
1005010103234739,https://ae-pic-a1.aliexpress-media.com/kf/S5ea401a77f314153b680334799a2af63g.jpg,,Heart Print Soft Phone Case For iPhone 17e 18 17 Pro Max 16 15 14 13 12 Pro Max 11 16e Shockproof Silicone Leather Texture Cover,EUR 1.13,EUR 0.88,22%,EUR,7.0,EUR 0.06,7.0,EUR 0.06,584,93.1%,https://s.click.aliexpress.com/e/_c4Ngrsmt,,,,,,
1005011874672402,https://ae-pic-a1.aliexpress-media.com/kf/Scf5ced8d94e54e6bafd54073796030f8u.jpg,,A-Abarth Scorpion Phone Case For iPhone 17 16 15 14 13 12 11 Pro Max Air Colorful Matte Laser Aurora Shockproof,EUR 2.11,EUR 2.11,0%,EUR,12.0,EUR 0.25,7.0,EUR 0.15,33,100.0%,https://s.click.aliexpress.com/e/_c34Ee3uv,,,,,,
1005010596226830,https://ae-pic-a1.aliexpress-media.com/kf/S8d24649c79bc4d448e3614360f80aa45g.jpg,,Game K-Kingdom H-Hearts Phone Case For Samsung Galaxy S25 Edge S24 S23 S22 S21 S20 Ultra Matte Laser Aurora Funda Phone Case,EUR 2.11,EUR 1.94,8%,EUR,8.0,EUR 0.16,7.0,EUR 0.14,23,100.0%,https://s.click.aliexpress.com/e/_c38orATF,,,,,,
1005010586328299,https://ae-pic-a1.aliexpress-media.com/kf/S35458de3f9384149baf76a7950234132B.jpg,,Tame Impala Phone Case For iPhone 16 15 14 13 12 11 Pro Max Plus Glossy HD Double-Layer Liquid Back Film Hard Shell,EUR 4.21,EUR 3.87,8%,EUR,7.0,EUR 0.27,7.0,EUR 0.27,7,80.0%,https://s.click.aliexpress.com/e/_c3Piw7wN,,,,,,
1005010129055025,https://ae-pic-a1.aliexpress-media.com/kf/Sa0a99245cbaf4eb88b251f88d569b457p.jpg,,High-End Leopard Print And Tinfoil Design Phone Case for iPhone 17 Pro Max 17 Air 16E 16 15 14 13 12 11 7 8 Plus XS XR 17 Cover,EUR 2.47,EUR 1.48,40%,EUR,8.0,EUR 0.12,7.0,EUR 0.10,293,93.3%,https://s.click.aliexpress.com/e/_c3GjXSEt,,,,,,
1005009962265867,https://ae-pic-a1.aliexpress-media.com/kf/Sf4c997932e104ff2854c28117815a1aaE.jpg,,Oatsbasf Metal Phone Case for iPhone 17 Pro Max/17 Pro with Magnetic Stand 360° Rotatable Magsafe Aluminum Metal Frameless Cover,EUR 33.28,EUR 16.64,50%,EUR,7.0,EUR 1.16,7.0,EUR 1.16,39,96.0%,https://s.click.aliexpress.com/e/_c4cYNiXj,,,,,,
