ProductId,Image Url,Video Url,Product Desc,Origin Price,Discount Price,Discount,Currency,Direct linking commission rate (%),Estimated direct linking commission,Indirect linking commission rate (%),Estimated indirect linking commission,Sales180Day,Positive Feedback,Promotion Url,Code Name,Code Start Time,Code End Time,Code Value,Code Quantity,Code Minimum Spend
1005006130822754,https://ae-pic-a1.aliexpress-media.com/kf/S399ae001b73149f09b3cb3a84dc46177M.jpg,,Men Sport LED Watches Top Brand Men Digital Clock Multi-Functional Rubber Man Fitnes Athlete Timekeeping Electronic Watch Reloj,USD 6.61,USD 6.61,0%,USD,7.0,USD 0.46,7.0,USD 0.46,210,88.4%,https://s.click.aliexpress.com/e/_c3rfyPkp,,,,,,
1005005562067723,https://ae-pic-a1.aliexpress-media.com/kf/S53e971ef226646f496f7af1741216d29o.jpg,,QuickFit 22mm 26mm Strap for Garmin Epix Gen 2 Silicone Band for Garmin Fenix 7 7X 5Plus 6XPro Enduro 2 Bracelet Watchband,USD 10.43,USD 8.45,19%,USD,7.0,USD 0.59,7.0,USD 0.59,7498,95.2%,https://s.click.aliexpress.com/e/_c3yIpcu9,,,,,,
1005012141674169,https://ae-pic-a1.aliexpress-media.com/kf/Se521f9dacdd647618eb26b802a3670a3I.jpg,,2PCS Fashion Arabic Dial Women Quartz Watch Heart Bracelet Set Square Silicone Strap Wristwatches Reloj Mujer (Without Box),USD 16.69,USD 8.35,50%,USD,7.0,USD 0.58,7.0,USD 0.58,4778,95.0%,https://s.click.aliexpress.com/e/_c4mJDekz,,,,,,
1005008911173804,https://ae-pic-a1.aliexpress-media.com/kf/Sdce8b44b11e54e0cab6f2bd4977b1df1b.jpg,,6/8PCS Watch Dust Air Blower Pump Rubber Cleaning Wristwatch Parts Cleaner Brush Tool Cleaning Suit Watch Repair Tool Care Kit,USD 28.87,USD 14.15,51%,USD,7.0,USD 0.99,7.0,USD 0.99,4986,95.6%,https://s.click.aliexpress.com/e/_c3wTN90Z,,,,,,
1005007649588085,https://ae-pic-a1.aliexpress-media.com/kf/Sbb9b9f0677944dd99d6966acd11a2385R.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/232048146/p/1/e/6/t/10301/4000228120171.mp4,Band Leather Bracelet for Redmi watch 6 5 4 Wrist Strap for Xiaomi Mi band 9/8pro watchband Smart watch Sports Strap Accessoeies,USD 4.58,USD 4.56,1%,USD,7.0,USD 0.32,7.0,USD 0.32,191,94.7%,https://s.click.aliexpress.com/e/_c3IHLI5R,,,,,,
1005008842124440,https://ae-pic-a1.aliexpress-media.com/kf/S83d05557d73a45bc88db55f5379b0713j.jpg,,Silicone Straps For Huawei Band 10 9 8 Replacement Sport Breathable Bracelet Correa Huawei smart Band 10 9 8 Strap Accessories,USD 3.28,USD 3.28,0%,USD,7.0,USD 0.23,7.0,USD 0.23,668,94.1%,https://s.click.aliexpress.com/e/_c3S3hcWv,,,,,,
1005010329515195,https://ae-pic-a1.aliexpress-media.com/kf/S6e1923fc1a854514b9dc2395d3046702j.jpg,,2PCS Fashion Men Quartz Watches Set Casual Plastic Band Man Sports Wristwatch Reloj Hombre（Without Box）,USD 30.37,USD 14.88,51%,USD,7.0,USD 1.04,7.0,USD 1.04,579,93.8%,https://s.click.aliexpress.com/e/_c3XCEgwD,,,,,,
1005010031809374,https://ae-pic-a1.aliexpress-media.com/kf/S16fe58cf00e44d69a917a13718599be23.jpg,,Trail Loop strap for Apple watch bands 11 42/46mm 44mm 40mm 41mm 45mm Sport Bracelet iWatch series 9 8 7 5 Se3 10 ultra 3 2 49mm,USD 3.02,USD 3.01,1%,USD,7.0,USD 0.21,7.0,USD 0.21,925,94.2%,https://s.click.aliexpress.com/e/_c4XLeYLL,,,,,,
1005006658631112,https://ae-pic-a1.aliexpress-media.com/kf/Sc5e6117e4f4b446a93806bbc9031731ct.jpg,,Watch Bracelet Pliers 6825 Standard of Spring Bar Remover Watch Bands Repair Removing Tool Set,USD 6.34,USD 6.20,2%,USD,7.0,USD 0.43,7.0,USD 0.43,54,100.0%,https://s.click.aliexpress.com/e/_c4mhbNed,,,,,,
1005009758331276,https://ae-pic-a1.aliexpress-media.com/kf/Sa56c596597284a4b83b972bd86baf89aT.jpg,,"Top Grain Genuine Leather Watch Band, Quick Release 20mm/22mm Watch Strap,  Fits Samsung Galaxy Watch, Men and Women Watch band",USD 7.96,USD 7.76,2%,USD,7.0,USD 0.54,7.0,USD 0.54,1009,94.6%,https://s.click.aliexpress.com/e/_c3bs1pNb,,,,,,
