ProductId,Image Url,Video Url,Product Desc,Origin Price,Discount Price,Discount,Currency,Direct linking commission rate (%),Estimated direct linking commission,Indirect linking commission rate (%),Estimated indirect linking commission,Sales180Day,Positive Feedback,Promotion Url,Code Name,Code Start Time,Code End Time,Code Value,Code Quantity,Code Minimum Spend
1005006907998833,https://ae-pic-a1.aliexpress-media.com/kf/S3c33c9a9dfc340cbaaaec863d4a6bba2C.jpg,,USB Mini Fan Portable Handheld Fan Rechargeable Mini Handy Fan Pocket Size Low Noise Small Electric Fan Student Dormitory,USD 3.41,USD 3.41,0%,USD,7.0,USD 0.24,7.0,USD 0.24,13,80.0%,https://s.click.aliexpress.com/e/_c3QphlgB,,,,,,
1005006117007767,https://ae-pic-a1.aliexpress-media.com/kf/S5a25fd7a2ffe44df97d0f02686c99a38w.jpeg,,Charging Cable Adaptor 26V 0.6A EU Plug Vacuum Cleaner Accessories For Grundig VCP3830 Cordless Handheld Vacuum Cleaner Charger,USD 11.89,USD 4.04,66%,USD,7.0,USD 0.28,7.0,USD 0.28,341,92.5%,https://s.click.aliexpress.com/e/_c2yxvEgj,,,,,,
1005002914243769,https://ae-pic-a1.aliexpress-media.com/kf/S98cceb6033f9450db77bc15a53252b91m.jpg,,1PC Meat Grinder Disc Parts #5 Mincer Plate for Moulinex HV2 HV4 HV6 HV8 DKA1 DKA2 ME405 DR7 FP650 Krups F4177520 Tefal NE210140,USD 7.90,USD 7.06,10%,USD,7.0,USD 0.49,7.0,USD 0.49,185,95.5%,https://s.click.aliexpress.com/e/_c3GqOBmj,,,,,,
1005008750487322,https://ae-pic-a1.aliexpress-media.com/kf/S0fd4d39cc93e458abc56d1af4d9dd7482.jpg,,For JRL 2020C 2020T Hair Clipper Trimmer Original PCB Motherboard Battery Kit 20C 20T Replacement Accessories for Grooming Tools,USD 38.20,USD 19.10,50%,USD,7.0,USD 1.34,7.0,USD 1.34,99,100.0%,https://s.click.aliexpress.com/e/_c4lyz5gJ,,,,,,
1005005636182970,https://ae-pic-a1.aliexpress-media.com/kf/S36e986bfd7ca4108a2265edad3f2818bh.png,https://video.aliexpress-media.com/play/u/ae_sg_item/252644087/p/1/e/6/t/10301/1100071868825.mp4,Kemei Original Electric Shavers Blades Golden Foil Knife Net and Cutter Head Suitable for KM-2026 KM-2028 Floating Razor,USD 13.56,USD 4.47,67%,USD,7.0,USD 0.31,7.0,USD 0.31,453,93.6%,https://s.click.aliexpress.com/e/_c30hkbMP,,,,,,
1005004121877486,https://ae-pic-a1.aliexpress-media.com/kf/S83874b27f332478ba8ae1cb3c357b381Z.jpg,,10 inch Stainless Steel Wire Mesh Filter Cartridge Pre-Filter for Scale Prevention for Water Purifier,USD 13.41,USD 13.41,0%,USD,7.0,USD 0.94,7.0,USD 0.94,163,97.6%,https://s.click.aliexpress.com/e/_c4oPzjf9,,,,,,
1005009244443717,https://ae-pic-a1.aliexpress-media.com/kf/S87bb0773246741d3b9a5c1cbefda7f27f.jpg,,Men's Mini Electric Shaver Rechargeable Razor Epilator Women's Shaving Machine for Men Car Mini Shaver Electric Shaving Tools,USD 5.60,USD 2.63,53%,USD,7.0,USD 0.18,7.0,USD 0.18,1260,92.6%,https://s.click.aliexpress.com/e/_c36sVTE3,,,,,,
1005010677926647,https://ae-pic-a1.aliexpress-media.com/kf/S8e7bd7b8b71f40e18af25119ffcfb12cW.png,,690000Pa Wireless Car Vacuum 2 Hours Quick Charge Wet Dry Dual-use Cleaner Cordless Handheld High-power Vacuum Cleaner 2026,USD 15.61,USD 15.61,0%,USD,7.0,USD 1.09,7.0,USD 1.09,4326,87.9%,https://s.click.aliexpress.com/e/_c2vNJHfH,,,,,,
1005009421358607,https://ae-pic-a1.aliexpress-media.com/kf/Sf9c52553b8c84ecbbdb16f3245d11bdam.jpg,,Portable Handheld Fan Small Cooling Fan USB Rechargeable Eyelash Eyelash Mute Cooler Handheld Fan Mini USB Rechargeable Desk,USD 5.13,USD 2.31,55%,USD,7.0,USD 0.16,7.0,USD 0.16,15163,89.0%,https://s.click.aliexpress.com/e/_c4n1JItd,,,,,,
1005006895026041,https://ae-pic-a1.aliexpress-media.com/kf/S84913cc4eac84da2bba678c90d21664fe.jpg,,Electric Trimmer for Men's Groin Hair: Versatile Body Groomer and Waterproof Pubic Hair Trimmer with Replaceable Ceramic Blade,USD 22.87,USD 10.06,56%,USD,7.0,USD 0.70,7.0,USD 0.70,3052,93.2%,https://s.click.aliexpress.com/e/_c3IIkIMb,,,,,,
